a	art.一（人，事，物），每一，任何一
spot	n.地点，处所；点 vt.点缀；认出，准确定位
spouse	n.配偶 vt.和…结婚
spray	vt.喷洒
spread	v.伸展，展开；散布，传播
spring	n.泉水；喷泉；春天，春季
sprinkle	v.撒，洒n.少量，少数
spy	n.间谍
squad	n.小队；班
square	n.广场
squeeze	v.fit by forcing, pressing or crowding挤
stability	n.稳定，稳定性；坚定，恒心
stable	n.马厩
stack	n.一叠(堆、垛等)
stadium	n.露天体育场
staff	n.全体职工；参谋部 vt.为…配备工作人员
stage	n.舞台
stair	n.楼梯
stake	vt.把......押下打赌
stance	n.站姿;立场
stand	n.(货)架；(货)摊
standard	n.军旗；规格
standing	a.永存的，常务的 n.持续，期间；地位
star	n.星；(电影、戏剧的)明星
stare	v.盯，凝视
start	v.&amp;n.开始；出发
starter	n.(竞赛的)参加者；导火线，起因，发令员
starting	a.起始的
state	a.国家的
statement	n.陈述；声明
station	n.车站
statistical	a.统计的；统计学的
statistics	n.统计数字，统计资料；［用作单］统计学
statue	n.雕像
status	n.情形，状况；地位，身份
statute	n.成文法，法令，法规；章程，规则，条例
stay	v.停留
steadily	ad.稳固地；稳定地
steady	a.坚固的 v.(使)稳定
steak	n.牛排；大块肉(或鱼)片
steal	v.偷窃
steam	v.蒸发
steel	n.钢铁
steep	a.陡峭的
steer	vt.为…掌舵；驾驶
stem	vi.起源（于）
step	n.脚步
stereotype	n.固定形式，老套
stick	v.粘住
stiff	a.严肃的
still	adv.仍然；还
stimulate	vt.刺激；激励
stimulus	n.刺激
stir	vt.搅拌；激起 vi.走动；活动 n.惊动
stock	n.牲畜
stomach	n.胃口 v.容忍
stone	n.石头
stop	n.&amp;v.停车站；停止
storage	n.贮藏，保管；仓库
store	n.&amp;v.储藏
storm	n.暴风雨
story	n.故事
stove	n.炉子
straight	a.诚实的；直的
straighten	v.把…弄直，使挺直
strain	vi.尽力，使劲
strange	a.陌生的
stranger	n.陌生人；外地人，异乡人
strategic	a.战略(上)的；战略上重要的
strategy	n.战略；策略
straw	n.稻草，麦杆，吸管
streak	n.条纹；特性 vt. 在…上加条纹
stream	vi.倾注，流出
street	n.街
strength	n.力，力量
strengthen	v.加强
stress	n.压力；重音
stretch	v.伸延
strict	a.严格的，严厉的；严谨的，精确的；完全的
strictly	ad.严格地，精确地；严厉地
strike	v.&amp;n.罢工；打击
striking	a.显著的
string	n.一串，一行，一列；弦
strip	vt.剥(光)；剥夺
stroke	n.钟鸣声
strong	adj.强壮的；强大的；牢固的
strongly	ad.强有力地；牢固地；坚强地；强烈地
structural	a.结构的
structure	n.结构
struggle	n.竞争；奋斗 vi.奋斗
student	n.学生
studio	n.工作室；播音室，演播室；电影制片厂
study	v.&amp;n.学习；研究
stuff	vt.把…塞满
stumble	vi.绊倒；跌跌撞撞地走，蹒跚而行
stupid	a.愚蠢的，迟钝的
style	n.风格；文体；式样
subject	n.科目
submit	vt.提交，呈递
subsequent	a.随后的，接下去的
subsidy	n.津贴，补助金
substance	n.物质；实质，本质；主旨，大意
substantial	a.实质性的；重大的
substantially	ad.基本上，在本质上
subtle	a.精巧的，精妙的；微妙的，难以捉摸的
suburb	n.郊区
suburban	a.郊区的
succeed	vi.成功 vt.继承
success	n.成功；成就
successful	a.成功的
successfully	ad.成功地
such	a.这样的
suck	v.吸，吸收
sudden	a.突然的
suddenly	ad.突然地
sue	Sue (女人名) , vt.控告
suffer	v.受苦，受难，受罪
suffering	n.痛苦
sufficient	a.足够的，充分的
sugar	n.糖
suggest	v.建议，提出
suggestion	n.建议
suicide	n.自杀(者)
suit	v.合适
suitable	a.合适的；适当的
suite	n.套间；一套家具；套，组，系列
sum	n.总数；金额 vi.共计 vt.总结
summary	n.摘要，概要，一览
summer	n.夏天
summit	n.最高级会议；最高点，顶点
sun	n.太阳，日
sunlight	n.阳光；日照
sunny	adj.晴朗的;阳光充足的
super	a.美妙的，极好的
superior	a.较好的，优的；上级的 n.上级，长官
supermarket	n.超级市场
supervisor	n.指导者；（研究生的）导师；监督人
supplier	n.供应商
supply	v.&amp;n.供给；供应
support	n.&amp;v.支持；支撑
supporter	n.拥护者，支持者
supportive	a.起支持作用的，支援的
suppose	vt.推想；假使
supposed	a.假定的，推测的
supposedly	ad.推测；大概
Supreme	a.最高的，至上的；极度的，最主要的
sure	a.对…有把握
surely	ad.肯定，的确
surface	a.表面的
surgeon	n.外科医生
surgery	n.外科；外科手术
surprise	n.惊奇
surprised	a.惊讶的，吃惊的
surprising	a.使人惊奇的；出人意外的
surprisingly	ad.惊人地；出乎意料地
surround	v.围绕，包围
surrounding	n.周围的事物；环境 a.周围的
surveillance	n.监视
survey	vt.俯瞰;环视;调查
survival	n.幸存，生存；幸存物，幸存者
survive	vi.幸存 vt.经历…后还活着；比…活得长
survivor	n.幸存者；生还者；残存物
suspect	vt.怀疑(某人有罪)；怀疑；不信任
suspend	vt.悬挂
suspicion	n.怀疑，疑心，猜疑
suspicious	a.可疑的，容易引起怀疑的，猜疑的；疑心的
sustain	vt.支撑，承受住；供养，维持
sustainable	adj．能持续的；能维持的；能承受的
swallow	vt.吞咽 n.燕子
swear	vt./vi.诅咒，咒骂；宣誓n.誓言；骂人话
sweat	n.汗 vi.流汗
sweater	n.毛线衫,厚运动衫
sweep	v.打扫
sweet	a.甜的
swell	v.肿胀；膨胀
swim	v.&amp;n.游泳
swimming	游泳
swing	v.(使)摆动；(使)转向 n.摆动；秋千
switch	n.开关，转换器 v.转换；接通或切断…电流
sword	n.剑，刀
symbol	n.象征
symbolic	a.象征(性)的
sympathy	n.同情心；恻隐心；同情
symptom	n.症状，征兆
syndrome	n.综合病症，综合症状
system	n.系统，体系；制度，体制
table	n.桌子
tablespoon	n.餐匙，大调羹
tackle	vt.对付，处理
tactic	n.方法，策略
tag	vt.加标签于, 紧随, 添饰, 起浑名, 连接
tail	n.尾巴
take	vt.拿，取；拍(照片)
tale	n.故事；坏话
talent	n.才能；天资
talented	a.有才能的
talk	n./vi.谈话
tall	a.高的
tank	n.储水池；罐
tap	n.轻叩
tape	n.录音带
target	n.靶；目标
task	n.任务；作业
taste	v.&amp;n.品尝，尝；滋味
tax	n.税，税款
taxpayer	n.纳税人
tea	n.茶
teach	v.教授
teacher	n.教师
teaching	n.教学；(pl.)教导，学说
team	n.队
teammate	n.队友
tear	n.眼泪
teaspoon	n.茶匙
technical	a.技术的，工艺的；专门性的，专业的
technician	n.技术员，技师
technique	n.技术；技巧，手艺
technological	a.工艺(学)的；工业技术的
technology	n.工艺，技术
teen	n.(=teenager)13岁到19岁的年轻人
teenage	a.青少年的
teenager	n.13岁到19岁的年轻人
telephone	n.电话(机) v.打电话
telescope	n.望远镜
television	n.电视 (=TV)
tell	vt./vi.告诉
temperature	n.温度
temple	Temple (姓) , n.圣堂；庙宇
temporary	a.暂时的，临时的
ten	num.十
tend	vi.易于，往往会
tendency	n.趋势，倾向
tender	a.柔弱的；柔嫩的
tennis	n.网球
tension	n.拉紧，绷紧，紧张；张力，压力
tent	n.帐篷
term	n.学期；期，期限；词，措词
terms	付款条件
terrain	n.地带，地形
terrible	a.可怕的，令人生畏的
terribly	ad.非常地，极度地
terrific	a.极好的；玩得很愉快的
territory	n.领土，领地
terror	n.恐怖，引起恐怖的人(或物)
terrorism	n.恐怖主义，恐怖行为
terrorist	n.恐怖分子；暴徒
test	v.&amp;n.测验，试验，检验
testify	vt.证明，证实，作证
testimony	n.证明；公开的表明
testing	n.测试，测验
text	文本
textbook	n.教科书；课本
texture	n.组织，质地；织品，织物
than	conj.比
thank	vt.&amp;n.感谢
thanks	n.谢谢(只用复数)
Thanksgiving	thanksgiving n.感谢，感恩 , 感恩节[基督教]
that	that a.&amp;pron.那个 , a.那 pron.那 ad.那样
the	art.这(那)；这(那)些
theater	n.剧院
their	pron.他(她、它)们的
them	pron.他(她，它)们
theme	n.题目，主题
themselves	pron.他(她、它)们自己
then	ad.当时；然后
theological	a.神学的；神学上的
theology	n.神学，宗教
theoretical	a.理论的
theory	n.理论，学说
therapist	n.治疗专家
therapy	n.治疗；疗法
there	ad.在那里
thereby	ad.由此，从而
therefore	adv.因此
these	pron.&amp;a.这些
they	pron.他(她、它)们
thick	a.厚的；稠的
thigh	n.大腿
thin	a.瘦的
thing	n.事情
think	vt./vi.想；认为
thinking	n.思想，思考；想法，见解
third	num.第三
thirty	Thirty num.三十 , llum ．三十，三十个（人或物）
this	pron./adj.这个；这
thoroughly	ad.完全地，彻底地
those	pron./adj.那些
though	conj.尽管；虽然
thought	n.思考；想法
thousand	num.千
thread	n.&amp;v.线；穿线，穿过
threat	n.威胁，恐吓；凶兆，征兆
threaten	vt.威胁，扬言要；预示，是…的征兆
three	num.三
threshold	n.门槛，门口；入门，开端，起始点
thrive	v.繁荣，茁壮成长
throat	n.咽喉
through	prep.穿过 a.&amp;ad.直达
throughout	prep.遍及 ad.到处
throw	vt．投掷
thumb	vi.以拇指翻书页
thus	ad.因而
ticket	n.门票，车票
tide	n.潮汐，潮流
tie	v.领带；结(领带)
tight	a.紧的，牢的 ad.坚定地，稳固地
tighten	v.(使)变紧；(使)绷紧
tightly	adv.紧紧地
tile	Tile 阶式 , n.瓦片；瓷砖
till	conj.&amp;pron.直到…为止，直到 vt.耕种
timber	n.木材，木料；树林，树林
time	n.时间；时刻
timing	n.时机的选择
tiny	a.很少的
tip	n.尖端；顶，小费 vt.使倾斜；给小费
tire	n.(=tyre)轮胎
tired	adj.疲劳的
tissue	n.组织
title	n.题目，标题；称号，头衔
to	prep.向；往
tobacco	n.烟草
today	adv./n.今天
toe	n.脚趾；足尖
together	ad.一起
toilet	n.盥洗室；厕所
tolerance	n.忍受，容忍；公差
tolerate	vt.容忍，忍受，容许
toll	v.(缓慢而有节律地)敲(钟)，鸣钟
tomato	n.西红柿
tomorrow	n.明天
tone	n.音调，音色；腔调，语气；声调，语调
tongue	n.舌头
tonight	n.今晚
too	ad.也
tool	n.工具
tooth	n.牙齿
top	n.&amp;v.顶，顶部；高于，超过
topic	n.题目，话题；主题
toss	vt.抛，掷；使动荡 vi.摇摆，颠簸
total	n.&amp;a.总数，合计；总的
totally	adv.完全地
touch	n.&amp;v.触，摸，碰；触动
touchdown	n.攻到底线得分
tough	a.艰巨的
tour	v.旅行，游览
tourism	n.旅游，观光；旅游业，观光业
tourist	n.游客
tournament	n.锦标赛，联赛；(旧时)骑士比武大会
toward	prep.向 a.有利的 (=towards)
towards	prep.向，往，朝...方向
towel	n.毛巾
tower	tower n.塔 , 塔桥
town	n.市镇
toxic	a.有毒的，因中毒引起的
toy	n.玩具
trace	n.痕迹，踪迹；微量，少许 vt.跟踪，查找
track	n.跑道；径赛运动；田径运动
trade	n.手艺，贸易，商业
trading	n.商业，买卖，贸易
tradition	n.传统；惯例
traditional	a.传统的
traditionally	ad.传统上
traffic	n.交通，通行；交通量
tragedy	n.惨事，灾变；悲剧
tragic	a.悲惨的；悲剧的
trail	vi.逐渐变弱
trailer	n.拖车，挂车
train	n.火车
trainer	n.教练员
training	n.训练，培训
trait	n.特征;特性
transaction	n.办理，处理；(一笔)交易，业务
transfer	vt./vi.转移；改变 n.转移，传输，变换
transform	v.使改观，使变形
transformation	n.变化，转化；改造，改革
transit	n.运输
transition	n.转变；过渡
translate	v.翻译；解释
translation	n.翻译
transmission	n.传送，传递；播送，发射
transmit	vt.播送，发射；传送，传递；输送
transport	n.运输；运输工具
transportation	n.运输；运输系统，运输工具
trap	n.陷阱，圈套 vt.设陷阱捕捉；使中圈套
trash	n.垃圾
trauma	n.创伤，外伤
travel	n.&amp;vi.旅行
traveler	n.旅客，旅游者
tray	n.托盘
treasure	n.财宝，财富
treat	n.宴请
treatment	n.治疗；疗法
treaty	n.条约
tree	n.树
tremendous	adj.巨大的
trend	n.趋向；倾向
trial	n.审判
tribal	adj.部落的
tribe	n.部落
trick	n.诡计；恶作剧
trigger	n.扳机
trim	vt.修剪
trip	n.旅行 n.&amp;vi.摔倒
triumph	n.胜利
troop	n.军队
tropical	a.热带的；发生于热带的
trouble	n.&amp;v.麻烦
troubled	adj.不安的，困惑的
truck	n.卡车
truly	ad.确实地
trunk	n.树干
trust	v.&amp;n.信任，信赖；委托，信托
truth	n.真理
try	vt./vi.试试
T-shirt	T-shirt n.T恤衫 , n. t恤衫
tube	n.管；电子管，真空管；［英］地铁
tuck	vt.塞(进)；卷(起)
tumor	n.肿瘤，肿块
tune	n.曲调；和谐，协调 vt.调音；使合谐，调节
tunnel	n.地道，隧道
turkey	turkey n.火鸡 , n.土耳其
turn	n.(依次轮流时各自的)一次机会
TV	TV n.电视；电视机 , n. 电视；电视机
twelve	num.十二
twentieth	a.第二十的 n.二十分之一
twenty	num.二十
twice	ad.两次
twin	a./n.双胞胎(的)［Twins］［天］双子座
twist	n.(形势的)意想不到的转折；转动v.(使)转动
two	num.二
type	vt.打字
typical	a.典型的，代表性的
typically	ad.典型地
ugly	a.难看的
ultimate	a.最远的；最后的；终极的；根源的，基本的
ultimately	ad.最后，最终地
unable	a.不能的，不会的(to+v.)
uncertain	a.不肯定的；靠不住的
uncertainty	n.不确定，不可靠，半信半疑
uncle	n.叔叔
uncomfortable	a.不自在的
uncover	vt.揭开…盖子；发现
under	prep.在…下面
undergo	vt.经历，遭受，忍受
undergraduate	n.&amp;a.大学生(的)
underlying	a.在下面的；基本的；含蓄的，潜在的
undermine	vt.在…下挖；侵蚀…的基础；逐渐损害
understand	v.懂，理解
understanding	n.理解
undertake	vt.承担；从事
unemployment	n.失业
unexpected	a.意外的
unfair	a.不公平的，不公正的
unfold	vt.展现; 显露, 表明
unfortunately	ad.不幸地是；遗憾地是
unhappy	a.不幸的，不快乐的
uniform	n.制服 a.统一的
union	n.工会，协会；结合，联合
unique	a.独特的
unit	n.单元
unite	v.联合
United	a.联合的
unity	n.总体布局；统一
universal	a.普遍的
universe	n.宇宙
university	n.大学
unknown	a.未知的，不知名的
unless	conj.如果不；除非
unlike	prep.不像，和…不同
unlikely	a.未必可能的；靠不住的
unprecedented	adj.having no precedent 空前的，无先例的
until	conj.&amp;prep.到…为止
unusual	a.不寻常的，与众不同的
up	adv.向上
update	vt.更新，使现代化n.最新信息
upon	prep.在…之上
upper	a.上面的；较高的
upset	vt.打翻；使苦恼 a.心烦意乱的，不安的
upstairs	adv.往楼上；在楼上
urban	a.城市的
urge	vt.驱策，鼓励；催促 n.迫切的要求
us	US n.美国 (=the United States) , pron.我们[we的宾格]
use	v.&amp;n.使用
used	v.过去惯常，过去经常
useful	adj.有用的；有益的
user	n.用户，使用者
usual	a.经常的
usually	ad.通常
utility	n.用途，使用价值；公用事业
utilize	v.利用
vacation	n.假期，休假
vaccine	n.牛痘苗；疫苗 a.牛痘的；疫苗的
vacuum	n.真空；真空吸尘器
valid	a.有效的；正当的
validity	n.正确（性）；合法（性），有效
valley	n.山谷
valuable	a.贵重的；有价值的
value	n.价值，实用性，重要性
van	VAN (value-added net)增值网络 , n.运货车，(载客的)面包车
vanish	vi.消失，突然不见
variable	a.易变的 n.变量
variation	n.变化，变动；变异的东西；变化了的形式
variety	n.变化，多样化；品种；多种多样
various	a.不同的
vary	adv.很；非常
vast	a.巨大的，广阔的；大量的，极多的
vegetable	n.蔬菜；植物
vehicle	n.车辆(统称)
vendor	n.卖主；小贩
venture	vt.大胆说，不揣冒昧说出
verbal	a.词语的；口头的
verdict	n.裁定, 判断
version	n.版本，译本，改写本；说法
versus	prep.与......相比; 与......相对
vertical	a.垂直
very	ad.很 a.真正的
vessel	n.船，舰；容器，器皿
veteran	n.老兵；老手，经验丰富的人
via	prep.经由，经过，通过
victim	n.受害者
victory	n.胜利
video	n.录像(机) a.录像的
view	vt.把…看成是；当作是；认为
viewer	n.电视观众
village	n.村庄
violate	vt.违犯，违反；违背
violation	n.违反，侵犯
violence	n.暴力，暴力行为；猛烈，强烈
violent	a.暴力的；猛烈的，剧烈的，强烈的
virtual	a.实际上(但并非正式的)，实质上
virtually	ad.实际地，实质地，事实上
virtue	vt.美德；优点
virus	n.病毒；病原体
visible	a.可见的，看得见的；明显的，显然的
vision	n.想象(力)
visit	v.&amp;n.访问，参观，作客
visitor	n.访问者
visual	a.视觉的，看得见的
vital	a.生命的；有生命力的；极其重要的
vitamin	n.维生素
vocal	a.of the voice 声音的; 发声的
voice	n.声音 v.表达
volume	n.卷；册
voluntary	adj.随意的；自愿的；志愿的
volunteer	vt.主动讲；自愿提供
vote	n.选举，投票；票，选票 vi.投票，选举
voter	n.选举人，投票人
voting	n.投票
vs	abbr.对；比(尤指运动中)
vulnerable	a.易受伤的，弱小的；易受…攻击的
wage	n.工资，报酬
wagon	n.四轮运货马(牛)车
waist	n.腰，腰部
wait	v.等待；侍候(on)
wake	v.醒来，唤醒
walk	n.人行道
walking	v.步行
wall	n.墙壁
wander	v.徘徊，漫步；迷路，迷失
want	v.想要
war	n.战争
warehouse	n.仓库
warm	a.温暖的
warmth	n.暖和，温暖；热情，热心
warn	v.警告，告诫
warning	n.警告;前兆
warrior	n.斗士，勇士；(老)战士
wash	v.&amp;n.洗，冲洗
waste	a.&amp;n.&amp;v.荒废的，没用的，废物；浪费
watch	vt.观看 n.手表
water	n.水
wave	vt./vi.挥手(致意)
way	n.路线 a.中途
we	pron．我们
weak	adj.虚弱的；弱的
weaken	vt.削弱，减弱 vi.变弱
weakness	n.软弱，虚弱；弱点，缺点
wealth	n.财富，财产；丰富，大量
wealthy	a.rich,abundant 富裕的，富庶的
weapon	n.武器; 斗争手段
wear	v.&amp;n.穿
weather	n.天气
weave	v.编(织) n.编织法，编织式样
web	n.网，网络
wedding	n.婚礼
weed	n.杂草
week	n.星期
weekend	n.周末
weekly	weekly adj.每周的 , adj.每星期的,一周的
weigh	n.重量；砝码；负担 vt.在(某物上)加重量
weight	n.重量
weird	a.怪异的；离奇的
welcome	int.欢迎 n.&amp;vt.欢迎
welfare	n.幸福，福利
well	n.井，水井
well-being	n.健康；福利，幸福
well-known	a.有名的，出名的；众所周知的
west	n./adj.西；西方(的)；西部(的)
western	western a.西方的，西部的 , n.西部片
wet	a.湿的
whale	n.鲸
what	a.&amp;pron.什么
whatever	a.无论怎样
wheat	n.小麦
wheel	n.轮，车轮
wheelchair	n.轮椅
when	ad.&amp;pron.什么时候
whenever	conj.无论何时；每当
where	ad.在哪里
whereas	conj.而，却；反之
wherever	conj.无论哪里 ad.无论什么地方
whether	conj.是否
which	pron./adj.哪一个；哪些
while	n.一会儿
whip	n.鞭子 vt.鞭打；击败 vi.快速或突然移动
whisper	v.耳语，私语
white	a.白色的 n.白色
who	pron.谁
whoever	pron.无论谁，不管谁
whole	a.全部的 n.全部
whom	pron.谁
whose	pron.谁的
why	ad.为什么
wide	a.宽阔，广泛
widely	ad.广泛地，普遍地；广博地；大大地
widespread	a.分布(或散布)广的，普遍的
widow	n.寡妇
wife	n.妻子
wild	a.野生的，未驯化的；荒芜的
wilderness	n.荒野
wildlife	n.野生动植物
will	Will 威尔(男名) , aux .  v ．将；会；愿意n ．意志；决心；愿望
willing	a.乐意的
willingness	n.愿意, 乐意
win	n.胜利
wind	v.绕，缠，弯曲
window	n.窗
wine	n.葡萄酒
wing	n.翅膀
winner	n.胜利者；优胜者
winter	Winter (姓)温特 , 冬天
wipe	v.&amp;n.擦
wire	n.金属丝 v.打电报
wisdom	n.智慧，才智；明智
wise	a.英明的 n.方法
wish	v.&amp;n.祝，祝愿；希望，想要
with	prep.有；以；用；和
withdraw	v.撤退，撤回
withdrawal	n.后退；缩回；撤走；退回；收回；取消
within	ad.在内部 n.内部
without	prep.没有
witness	n.目击者；见证人 v.目击
wolf	n.(［复］wolves)狼；贪婪的人
woman	n.女人
wonder	n.惊奇；奇迹
wonderful	a.令人惊叹的
wood	n.木头
wooden	a.木制的
word	单词
work	vi./n.工作
worker	n.工人；工作人员
working	n.运转，运行；活动能力
workout	n．(口语)体育锻炼，训练
workplace	n.工作场所
works	n.工厂，著作，作品
workshop	n.车间；工场
world	n.世界
worldwide	ad.在全世界，在世界各地
worried	a.担忧的，担心的，发愁的
worry	vi.担心
worth	a.值…钱，相当于…的
would	v.aux.将；愿意
wound	n.&amp;v.创伤，伤口；受伤，伤害
wow	int.哇，呀
wrap	v.卷，包，缠绕
wrist	n.手腕
write	v.写
writer	n.作家
writing	n.书法；笔迹
written	a.书面的
wrong	a.&amp;ad.错误的，有毛病的；错，不对
yard	n.院子，场地
yeah	ad.是
year	n.年
yell	vi.叫喊；叫嚷
yellow	a.黄色的 n.黄色
yes	ad.是
yesterday	n.昨天
yet	adv.尚；已经 conj.然而
yield	v.产生
you	pron.你；你们
young	a.年轻的
youngster	n.年青人；少年
your	pron.你的；你们的
yours	pron.你(们)的
yourself	pron.你自己
youth	n.青春，青年时期，青年，青年人
zone	n.地带，带；地区，区域，范围
